team,city,habitual_m,venue_m,log_tilt
Germany,Guadalupe,80,497,-0.0558
Germany,Atlanta,80,320,-0.0321
Germany,Kansas City,80,274,-0.0259
Ivory Coast,Mexico City,50,2240,-0.2935
Ivory Coast,Zapopan,50,1565,-0.203
Ivory Coast,Toronto,50,161,-0.0149
Ivory Coast,Santa Clara,50,132,-0.011
Ivory Coast,Foxborough,50,88,-0.0051
Ivory Coast,Vancouver,50,70,-0.0027
Ivory Coast,Arlington,50,184,-0.018
Ivory Coast,Guadalupe,50,497,-0.0599
Ivory Coast,Seattle,50,56,-0.0008
Ivory Coast,Atlanta,50,320,-0.0362
Ivory Coast,Kansas City,50,274,-0.03
Japan,Mexico City,44,2240,-0.2943
Japan,Zapopan,44,1565,-0.2038
Japan,Toronto,44,161,-0.0157
Japan,Santa Clara,44,132,-0.0118
Japan,Foxborough,44,88,-0.0059
Japan,Vancouver,44,70,-0.0035
Japan,Arlington,44,184,-0.0188
Japan,Guadalupe,44,497,-0.0607
Japan,Seattle,44,56,-0.0016
Japan,Atlanta,44,320,-0.037
Japan,Kansas City,44,274,-0.0308
Netherlands,Mexico City,13,2240,-0.2984
Netherlands,Zapopan,13,1565,-0.208
Netherlands,Toronto,13,161,-0.0198
Netherlands,Inglewood,13,40,-0.0036
Netherlands,Santa Clara,13,132,-0.0159
Netherlands,East Rutherford,13,24,-0.0015
Netherlands,Foxborough,13,88,-0.01
Netherlands,Vancouver,13,70,-0.0076
Netherlands,Arlington,13,184,-0.0229
Netherlands,Guadalupe,13,497,-0.0649
Netherlands,Seattle,13,56,-0.0058
Netherlands,Atlanta,13,320,-0.0411
Netherlands,Kansas City,13,274,-0.035
Sweden,Mexico City,22,2240,-0.2972
Sweden,Zapopan,22,1565,-0.2068
Sweden,Toronto,22,161,-0.0186
Sweden,Inglewood,22,40,-0.0024
Sweden,Santa Clara,22,132,-0.0147
Sweden,East Rutherford,22,24,-0.0003
Sweden,Foxborough,22,88,-0.0088
Sweden,Vancouver,22,70,-0.0064
Sweden,Arlington,22,184,-0.0217
Sweden,Guadalupe,22,497,-0.0636
Sweden,Seattle,22,56,-0.0046
Sweden,Atlanta,22,320,-0.0399
Sweden,Kansas City,22,274,-0.0338
Tunisia,Mexico City,23,2240,-0.2971
Tunisia,Zapopan,23,1565,-0.2066
Tunisia,Toronto,23,161,-0.0185
Tunisia,Inglewood,23,40,-0.0023
Tunisia,Santa Clara,23,132,-0.0146
Tunisia,East Rutherford,23,24,-0.0001
Tunisia,Foxborough,23,88,-0.0087
Tunisia,Vancouver,23,70,-0.0063
Tunisia,Arlington,23,184,-0.0216
Tunisia,Guadalupe,23,497,-0.0635
Tunisia,Seattle,23,56,-0.0044
Tunisia,Atlanta,23,320,-0.0398
Tunisia,Kansas City,23,274,-0.0336
Belgium,Mexico City,28,2240,-0.2964
Belgium,Zapopan,28,1565,-0.206
Belgium,Toronto,28,161,-0.0178
Belgium,Inglewood,28,40,-0.0016
Belgium,Santa Clara,28,132,-0.0139
Belgium,Foxborough,28,88,-0.008
