player,team,E_goals,P_golden_boot
Nathanaël Mbuku,DR Congo,0.1875,0.0
Theo Bongonda,DR Congo,0.0839,0.0
Théo Bongonda,DR Congo,0.2098,0.0
Alan Minda,Ecuador,0.5793,0.0
Charles Pickel,DR Congo,0.0806,0.0
Leon Goretzka,Germany,0.3298,0.0
Nadiem Amiri,Germany,0.125,0.0
Nico Schlotterbeck,Germany,1.0,0.0
Nathaniel Brown,Germany,1.0,0.0
Abdul Fatawu,Ghana,0.0767,0.0
Antoine Semenyo,Ghana,0.0938,0.0
Ernest Nuamah,Ghana,0.1648,0.0
Noni Madueke,England,0.1317,0.0
Jordan Ayew,Ghana,0.4881,0.0
Kamaldeen Sulemana,Ghana,0.1044,0.0
Thomas Partey,Ghana,0.328,0.0
Caleb Yirenkyi,Ghana,1.0,0.0
Danley Jean Jacques,Haiti,0.1775,0.0
Duke Lacroix,Haiti,0.0394,0.0
Frantzdy Pierrot,Haiti,0.3322,0.0
Jean-Kévin Duverne,Haiti,0.0488,0.0
Iñaki Williams,Ghana,0.125,0.0
Ollie Watkins,England,0.2301,0.0
Reece James,England,0.1183,0.0
Adrien Rabiot,France,0.6738,0.0
Aurélien Tchouaméni,France,0.1688,0.0
Dayot Upamecano,France,0.1288,0.0
Jean-Philippe Mateta,France,0.3512,0.0
Maghnes Akliouche,France,0.1842,0.0
Marcus Thuram,France,0.2028,0.0
Jamie Leweling,Germany,0.0958,0.0
Rayan Cherki,France,0.1582,0.0
Théo Hernandez,France,0.1397,0.0
Warren Zaïre-Emery,France,0.1017,0.0
Aleksandar Pavlović,Germany,0.0946,0.0
Antonio Rüdiger,Germany,0.0394,0.0
Assan Ouédraogo,Germany,0.135,0.0
David Raum,Germany,0.1204,0.0
Felix Nmecha,Germany,1.097,0.0
N'Golo Kanté,France,0.0262,0.0
