player,nation,minutes,goals,npg,npxg,age
Aaron Anselmino,ARG,370,1,1,,20
Aaron Hickey,SCO,599,0,0,,23
Aaron Ramsdale,ENG,644,0,0,,27
Aaron Wan-Bissaka,COD,1731,0,0,,28
Aaron Zehnter,GER,1213,2,2,,21
Aarón Escandell,ESP,2340,0,0,,30
Aarón Martín,ESP,1785,1,1,,28
Abakar Sylla,CIV,67,0,0,,23
Abdallah Sima,SEN,355,1,1,,24
Abde Ezzalzouli,MAR,1380,5,5,,24
Abde Rebbach,ALG,821,0,0,,27
Abdel Abqar,MAR,949,0,0,,26
Abdelhamid Ait Boudlal,MAR,769,2,2,,19
Abdelhamid Sabiri,MAR,27,0,0,,29
Abdou Harroui,NED,594,1,0,,28
Abdoul Coulibaly,GER,1730,1,1,,18
Abdoul Ouattara,FRA,1310,2,2,,20
Abdoulaye Bamba,CIV,101,0,0,,35
Abdoulaye Faye,SEN,663,0,0,,21
Abdoulaye Niakhate Ndiaye,SEN,496,0,0,,23
Abdoulaye Touré,GUI,740,2,2,,32
Abdoulie Ceesay,GAM,217,0,0,,22
Abdukodir Khusanov,UZB,802,0,0,,22
Abdulai Juma Bah,SLE,1373,0,0,,19
Abdón Prats,ESP,93,0,0,,33
Abel Bretones,ESP,1409,1,1,,25
Abel Ruiz,ESP,74,0,0,,26
Abner,BRA,1431,3,3,,25
Aboubaka Soumahoro,FRA,136,0,0,,21
Abu Kamara,ENG,196,0,0,,22
Achraf Hakimi,MAR,1091,2,2,,27
Adam Armstrong,ENG,480,0,0,,29
Adam Boayar,MAR,104,1,1,,20
Adam Buksa,POL,627,2,2,,29
Adam Daghim,DEN,1033,2,2,,20
Adam Dźwigała,POL,1011,1,1,,30
Adam Hložek,CZE,24,0,0,,23
Adam Karabec,CZE,835,1,1,,22
Adam Kölle,GER,93,1,1,,19
Adam Marušić,MNE,2118,0,0,,33
Adam Masina,MAR,235,0,0,,32
Adam Obert,SVK,1989,0,0,,23
Adam Smith,ENG,730,0,0,,34
Adam Wharton,ENG,2132,0,0,,22
Adama Boiro,ESP,595,0,0,,23
Adama Camara,FRA,1638,1,1,,29
Adama Traoré,ESP,304,0,0,,30
Ademola Lookman,NGA,1049,3,3,,28
Adil Hamdani,FRA,16,0,0,,17
Adnan Januzaj,BEL,321,0,0,,31
Adrian Beck,GER,769,1,1,,28
Adrian Benedyczak,POL,490,1,0,,25
Adrian Bernabe,ESP,2109,3,3,,24
Adrian Šemper,CRO,1530,0,0,,28
Adrien Rabiot,FRA,1830,4,4,,30
Adrien Tameze,CMR,1111,0,0,,32
Adrien Thomasson,FRA,2081,2,2,,32
Adrien Truffert,FRA,2569,0,0,,24
Adrià Altimira,ESP,9,0,0,,24
Adrià Pedrosa,ESP,763,1,1,,27
Adrián Liso,ESP,1406,3,3,,20
Adrián de la Fuente,ESP,1916,2,1,,27
Afonso Moreira,POR,1008,2,2,,20
Aihen Muñoz,ESP,686,0,0,,28
Aiman Dardari,LUX,34,0,0,,20
Aimar Oroz,ESP,1482,0,0,,24
Ainsley Maitland-Niles,ENG,1918,1,1,,28
Aitor Mañas,ESP,71,0,0,,23
Aitor Paredes,ESP,1450,1,1,,25
Aitor Ruibal,ESP,1347,4,4,,29
Akor Adams,NGA,1474,7,5,,26
Aladji Bamba,FRA,394,0,0,,19
Alan Matturro,URU,613,1,1,,21
Albert Grønbaek,DEN,103,0,0,,24
Albert Guðmundsson,ISL,1702,4,1,,28
Albert Sambi Lokonga,BEL,1177,4,4,,26
Alberto Dossena,ITA,360,0,0,,27
Alberto Grassi,ITA,1056,0,0,,31
Alberto Moleiro,ESP,1786,9,9,,22
Alberto Moreno,ESP,811,1,1,,33
Alberto Paleari,ITA,1710,0,0,,33
Alberto Reina,ESP,1473,2,2,,28
Albian Hajdari,KVX,1808,1,1,,22
Aleix Febas,ESP,2305,2,2,,30
Aleix García,ESP,2028,1,1,,28
Alejandro Balde,ESP,1513,0,0,,22
Alejandro Francés,ESP,530,0,0,,23
Alejandro Garnacho,ARG,987,1,1,,21
Alejandro Mestanza,ESP,71,0,0,,21
Alejandro Rego,ESP,707,1,1,,22
Alejo Sarco,ARG,123,0,0,,20
Aleksandar Pavlovic,GER,1277,3,3,,21
Aleksandr Golovin,RUS,1249,3,3,,29
Alessandro Bastoni,ITA,2009,1,1,,26
Alessandro Buongiorno,ITA,1743,0,0,,26
Alessandro Circati,AUS,1795,1,1,,22
Alessandro Deiola,ITA,958,0,0,,30
Alessandro Di Pardo,ITA,54,0,0,,26
Alessandro Marcandalli,ITA,1714,0,0,,23
Alessandro Romano,SUI,8,0,0,,19
Alessandro Zanoli,ITA,1280,1,1,,25
Alessio Castro-Montes,BEL,429,0,0,,28
Alessio Romagnoli,ITA,1933,0,0,,31
Alessio Zerbin,ITA,1269,0,0,,27
Alex Baena,ESP,979,2,2,,24
Alex Freeman,USA,34,0,0,,21
Alex Iwobi,NGA,1951,4,4,,29
Alex Král,CZE,298,0,0,,27
Alex Meret,ITA,720,0,0,,28
Alex Murphy,IRL,2,0,0,,21
Alex Scott,ENG,2130,2,2,,22
Alex Sola,ESP,13,0,0,,26
Alex Tóth,HUN,74,0,0,,20
Alexander Isak,SWE,504,2,2,,26
Alexander Legendre,ECU,45,0,0,,17
Alexander Nübel,GER,2250,0,0,,29
Alexander Prass,AUT,939,3,3,,24
Alexander Røssing-Lelesiit,NOR,321,0,0,,19
Alexander Sørloth,NOR,1461,10,10,,30
Alexandre Alemão,BRA,644,1,1,,27
Alexis Claude-Maurice,FRA,1525,4,3,,27
Alexis Mac Allister,ARG,2000,2,2,,27
Alexis Saelemaekers,BEL,2109,2,2,,26
Alexis Sánchez,CHI,930,3,2,,37
Alexis Vossah,FRA,703,1,1,,17
Alexsandro Ribeiro,BRA,506,0,0,,26
Alfon,ESP,357,1,1,,26
Alfonso Espino,URU,917,2,2,,34
Alfonso Pedraza,ESP,1125,1,1,,29
Ali Abdi,TUN,908,1,1,,32
Ali Dembélé,FRA,21,0,0,,22
Ali Houary,MAR,123,0,0,,20
Ali Yousuf,LBY,527,0,0,,24
Alidu Seidu,GHA,815,0,0,,25
Alieu Fadera,GAM,936,2,2,,24
Alieu Njie,SWE,120,1,1,,20
Alimami Gory,MLI,718,1,1,,29
