player,nation,minutes,goals,npg,npxg,age
Aaron Ciammaglichella,ITA,1,0,0,0.0,19
Aaron Cresswell,ENG,824,0,0,0.2,34
Aaron Malouda,FRA,2,0,0,0.0,18
Aaron Ramsdale,ENG,2700,0,0,0.0,26
Aaron Wan-Bissaka,COD,3154,2,2,1.2,26
Aarón Martín,ESP,3085,0,0,0.9,27
Abakar Sylla,CIV,950,1,1,0.4,21
Abdallah Sima,SEN,1238,7,7,5.9,23
Abde Ezzalzouli,MAR,1984,2,2,7.2,22
Abde Rebbach,ALG,385,0,0,0.2,25
Abdel Abqar,MAR,2463,0,0,0.9,25
Abdou Harroui,NED,463,1,1,2.2,26
Abdoul Koné,FRA,133,0,0,0.0,19
Abdoul Ouattara,FRA,471,1,1,0.3,18
Abdoulaye Bamba,CIV,1510,0,0,0.1,34
Abdoulaye Doucouré,MLI,2564,3,3,4.1,31
Abdoulaye Keita,ESP,95,0,0,0.0,21
Abdoulaye Niakhate Ndiaye,SEN,1707,1,1,1.0,22
Abdoulaye Touré,GUI,2324,10,2,2.2,30
Abdoulie Ceesay,GAM,60,0,0,0.0,20
Abdukodir Khusanov,UZB,1478,0,0,0.2,20
Abdul Fatawu Issahaku,GHA,579,0,0,0.4,20
Abdul Mumin,GHA,2017,2,2,0.6,26
Abdulai Juma Bah,SLE,1550,0,0,0.4,18
Abdón Prats,ESP,456,2,1,1.5,31
Abel Bretones,ESP,2074,2,2,0.5,23
Abel Ruiz,ESP,1346,4,3,3.0,24
Abner,BRA,1090,1,1,0.6,24
Aboubacar Bassinga,CIV,4,0,0,0.0,19
Achraf Hakimi,MAR,2066,4,4,2.9,25
Adam Armstrong,ENG,1248,2,2,2.3,27
Adam Aznou,MAR,893,0,0,0.3,18
Adam Dźwigała,POL,373,0,0,0.4,28
Adam Hložek,CZE,1871,8,8,5.6,22
Adam Lallana,ENG,361,0,0,0.2,36
Adam Marušić,MNE,2337,4,4,2.0,31
Adam Masina,MAR,1919,1,1,0.7,30
Adam Obert,SVK,1077,1,1,0.9,21
Adam Smith,ENG,1590,0,0,0.7,33
Adam Webster,ENG,887,0,0,0.2,29
Adam Wharton,ENG,1318,0,0,0.4,20
Adama Boiro,ESP,1101,0,0,0.3,22
Adama Traoré,ESP,1772,2,2,4.0,28
Ademola Lookman,NGA,2247,15,14,9.5,26
Adnan Januzaj,BEL,598,2,2,0.8,29
Ado Onaiwu,JPN,957,4,4,4.0,28
Adri Embarba,ESP,1607,1,1,2.1,32
Adrian Baquerin,ESP,49,0,0,0.4,17
Adrian Beck,GER,1598,4,4,3.3,27
Adrian Benedyczak,POL,214,0,0,0.3,23
Adrian Bernabe,ESP,1453,1,1,1.3,23
Adrian Niño,ESP,12,0,0,0.2,20
Adrian Rodriguez,ESP,122,0,0,0.0,23
Adrien Rabiot,FRA,2485,9,9,7.3,29
Adrien Tameze,CMR,649,0,0,0.4,30
Adrien Thomasson,FRA,2615,3,3,5.9,30
Adrien Truffert,FRA,2752,2,2,2.3,22
Adrià Altimira,ESP,1630,0,0,0.3,23
Adrià Pedrosa,ESP,2298,1,1,0.9,26
Adrián,ESP,1710,0,0,0.0,37
Adryelson,BRA,1,0,0,0.0,26
Adu Ares,ESP,19,0,0,0.0,22
Aihen Muñoz,ESP,1098,0,0,0.2,26
Aimar Oroz,ESP,2966,5,4,3.5,22
Aimen Moueffek,FRA,1039,0,0,1.1,23
Aingeru Olabarrieta,ESP,54,0,0,0.0,18
Ainsley Maitland-Niles,ENG,1985,1,1,2.9,26
Aitor Fernández,ESP,90,0,0,0.0,33
Aitor Paredes,ESP,1812,3,3,2.3,24
Aitor Ruibal,ESP,1313,1,1,0.9,28
Akor Adams,NGA,1209,3,3,4.7,24
Alan Matturro,URU,900,0,0,0.2,19
Alassane Pléa,FRA,1902,11,10,6.6,31
Alban Lafont,CIV,1080,0,0,0.0,25
Albert Grønbaek,DEN,956,2,2,1.6,23
Albert Guðmundsson,ISL,1273,6,4,2.9,27
Albert Sambi Lokonga,BEL,1471,0,0,0.9,24
Alberto Cerri,ITA,87,0,0,1.0,28
Alberto Dossena,ITA,1825,0,0,0.8,25
Alberto Grassi,ITA,2203,1,1,1.0,29
Alberto Manzoni,ITA,6,0,0,0.1,19
Alberto Marí,ESP,7,0,0,0.0,23
Alberto Moleiro,ESP,2714,6,6,5.6,20
Alberto Moreno,ESP,1727,0,0,0.4,32
Alberto Paleari,ITA,90,0,0,0.0,31
Alberto Risco,ESP,69,0,0,0.2,18
Alberto costa,POR,357,0,0,0.6,20
Aleix García,ESP,1455,3,3,1.0,27
Alejandro Balde,ESP,2284,0,0,0.5,20
Alejandro Francés,ESP,1173,0,0,0.2,21
Alejandro Garnacho,ARG,2199,6,6,7.3,20
Alejandro Rodriguez,POR,20,0,0,0.0,16
Alejo Véliz,ARG,1127,1,1,2.3,20
Aleksandar Pavlovic,GER,1451,1,1,0.6,20
Aleksandar Sedlar,SRB,594,0,0,0.0,32
Aleksandr Golovin,RUS,1153,3,3,2.3,28
Alen Sherri,ALB,621,0,0,0.0,26
Alessandro Bastoni,ITA,2401,1,1,0.8,25
Alessandro Bianco,ITA,2618,1,1,1.3,21
Alessandro Buongiorno,ITA,1924,1,1,0.8,25
Alessandro Circati,AUS,540,0,0,0.3,20
Alessandro Deiola,ITA,1432,2,2,1.7,28
Alessandro Florenzi,ITA,5,0,0,0.0,33
Alessandro Gabrielloni,ITA,142,1,1,0.3,30
Alessandro Marcandalli,ITA,400,0,0,0.3,21
Alessandro Vogliacco,ITA,1487,2,2,1.4000000000000001,25
Alessandro Zanoli,ITA,1711,1,1,0.4,23
Alessio Cacciamani,ITA,31,0,0,0.0,17
