team,player,caps,club,birth
Belgium,Michy Batshuayi,16,Borussia Dortmund,1993-10-02
Belgium,Nacer Chadli,45,West Bromwich Albion,1989-08-02
Belgium,Leander Dendoncker,5,Anderlecht,1995-04-15
England,Jordan Pickford,3,Everton,1994-03-07
England,Kyle Walker,35,Manchester City,1990-05-28
England,Danny Rose,18,Tottenham Hotspur,1990-07-02
England,Eric Dier,26,Tottenham Hotspur,1994-01-15
England,John Stones,26,Manchester City,1994-05-28
England,Harry Maguire,5,Leicester City,1993-03-05
England,Jesse Lingard,12,Manchester United,1992-12-15
England,Jordan Henderson,39,Liverpool,1990-06-17
England,Harry Kane,24,Tottenham Hotspur,1993-07-28
England,Raheem Sterling,38,Manchester City,1994-12-08
England,Jamie Vardy,22,Leicester City,1987-01-11
England,Kieran Trippier,7,Tottenham Hotspur,1990-09-19
England,Jack Butland,8,Stoke City,1993-03-10
England,Danny Welbeck,39,Arsenal,1990-11-26
England,Gary Cahill,60,Chelsea,1985-12-19
England,Phil Jones,25,Manchester United,1992-02-21
England,Fabian Delph,11,Manchester City,1989-11-21
England,Ashley Young,34,Manchester United,1985-07-09
England,Marcus Rashford,19,Manchester United,1997-10-31
England,Dele Alli,25,Tottenham Hotspur,1996-04-11
England,Ruben Loftus-Cheek,4,Crystal Palace,1996-01-23
England,Trent Alexander-Arnold,1,Liverpool,1998-10-07
England,Nick Pope,1,Burnley,1992-04-19
Panama,Jaime Penedo,131,Dinamo București,1981-09-26
Panama,Michael Amir Murillo,22,New York Red Bulls,1996-02-11
Panama,Harold Cummings,52,San Jose Earthquakes,1992-03-01
Panama,Fidel Escobar,23,New York Red Bulls,1995-01-09
Panama,Román Torres,111,Seattle Sounders FC,1986-03-20
Panama,Gabriel Gómez,144,Atlético Bucaramanga,1984-05-29
Panama,Blas Pérez,118,Municipal,1981-03-13
Panama,Yoel Bárcenas,29,Tapachula,1993-10-23
Panama,Gabriel Torres,72,Huachipato,1988-10-31
Panama,Ismael Díaz,11,Deportivo Fabril,1997-05-12
Panama,Armando Cooper,98,Universidad de Chile,1987-11-26
Panama,José Calderón,31,Chorrillo,1985-08-14
Panama,Adolfo Machado,76,Houston Dynamo,1985-02-14
Panama,Valentín Pimentel,23,Plaza Amador,1991-05-30
Panama,Eric Davis,38,Dunajská Streda,1991-03-31
Panama,Abdiel Arroyo,33,Alajuelense,1993-12-13
Panama,Luis Ovalle,25,CD Olimpia,1988-09-07
Panama,Luis Tejada,105,Sport Boys,1982-03-28
Panama,Ricardo Ávila,5,Gent,1997-02-04
Panama,Aníbal Godoy,88,San Jose Earthquakes,1990-02-10
Panama,José Luis Rodríguez,2,Gent,1998-06-19
Panama,Álex Rodríguez,6,San Francisco,1990-08-05
Panama,Felipe Baloy,102,Municipal,1981-02-24
Tunisia,Farouk Ben Mustapha,15,Al Shabab,1989-07-01
Tunisia,Syam Ben Youssef,42,Kasımpaşa,1989-03-31
Tunisia,Yohan Benalouane,4,Leicester City,1987-03-28
Tunisia,Yassine Meriah,16,CS Sfaxien,1993-07-02
Tunisia,Oussama Haddadi,9,Dijon,1992-01-28
Tunisia,Rami Bedoui,8,Étoile du Sahel,1990-01-19
Tunisia,Saîf-Eddine Khaoui,5,Troyes,1995-04-27
Tunisia,Fakhreddine Ben Youssef,39,Al-Ettifaq,1991-06-23
Tunisia,Anice Badri,7,Espérance de Tunis,1990-09-18
Tunisia,Wahbi Khazri,35,Rennes,1991-02-08
Tunisia,Dylan Bronn,5,Gent,1995-06-19
Tunisia,Ali Maâloul,46,Al Ahly,1990-01-01
Tunisia,Ferjani Sassi,39,Al Nassr,1992-03-18
Tunisia,Mohamed Amine Ben Amor,26,Al Ahli,1992-05-03
Tunisia,Ahmed Khalil,3,Club Africain,1994-12-21
Tunisia,Aymen Mathlouthi,70,Al Batin,1984-09-14
Tunisia,Ellyes Skhiri,5,Montpellier,1995-05-10
Tunisia,Bassem Srarfi,5,Nice,1997-06-25
Tunisia,Saber Khalifa,44,Club Africain,1986-10-14
Tunisia,Ghailene Chaalali,6,Espérance de Tunis,1994-02-28
Tunisia,Hamdi Nagguez,15,Zamalek,1992-10-28
Tunisia,Mouez Hassen,3,Châteauroux,1995-03-05
Tunisia,Naïm Sliti,17,Dijon,1992-07-27
Colombia,David Ospina,86,Arsenal,1988-08-31
Colombia,Cristián Zapata,55,Milan,1986-09-30
Colombia,Óscar Murillo,13,Pachuca,1988-04-18
Colombia,Santiago Arias,41,PSV Eindhoven,1992-01-13
Colombia,Wilmar Barrios,10,Boca Juniors,1993-10-16
Colombia,Carlos Sánchez,85,Espanyol,1986-02-06
Colombia,Carlos Bacca,45,Villarreal,1986-09-08
Colombia,Abel Aguilar,70,Deportivo Cali,1985-01-06
Colombia,Radamel Falcao,73,Monaco,1986-02-10
Colombia,James Rodríguez,63,Bayern Munich,1991-07-12
Colombia,Juan Cuadrado,70,Juventus,1988-05-26
Colombia,Camilo Vargas,5,Deportivo Cali,1989-03-09
Colombia,Yerry Mina,12,Barcelona,1994-09-23
Colombia,Luis Muriel,18,Sevilla,1991-04-16
Colombia,Mateus Uribe,8,América,1991-03-21
Colombia,Jefferson Lerma,5,Levante,1994-10-25
Colombia,Johan Mojica,4,Girona,1992-08-21
Colombia,Farid Díaz,13,Olimpia,1983-07-20
Colombia,Miguel Borja,7,Palmeiras,1993-01-26
Colombia,Juan Fernando Quintero,15,River Plate,1993-01-18
Colombia,José Izquierdo,5,Brighton & Hove Albion,1992-07-07
Colombia,José Fernando Cuadrado,1,Once Caldas,1985-06-01
Colombia,Davinson Sánchez,9,Tottenham Hotspur,1996-06-12
Japan,Eiji Kawashima,84,Metz,1983-03-20
Japan,Naomichi Ueda,4,Kashima Antlers,1994-10-24
Japan,Gen Shoji,11,Kashima Antlers,1992-12-11
Japan,Keisuke Honda,95,Pachuca,1986-06-13
Japan,Yūto Nagatomo,105,Galatasaray,1986-09-12
Japan,Wataru Endō,12,Urawa Red Diamonds,1993-02-09
Japan,Gaku Shibasaki,18,Getafe,1992-05-28
Japan,Genki Haraguchi,33,Fortuna Düsseldorf,1991-05-09
Japan,Shinji Okazaki,113,Leicester City,1986-04-16
Japan,Shinji Kagawa,92,Borussia Dortmund,1989-03-17
Japan,Takashi Usami,24,Fortuna Düsseldorf,1992-05-06
Japan,Masaaki Higashiguchi,5,Gamba Osaka,1986-05-12
Japan,Yoshinori Muto,24,Mainz 05,1992-07-15
Japan,Takashi Inui,27,Eibar,1988-06-02
Japan,Yuya Osako,29,1. FC Köln,1990-05-18
Japan,Hotaru Yamaguchi,42,Cerezo Osaka,1990-10-06
Japan,Makoto Hasebe,110,Eintracht Frankfurt,1984-01-18
Japan,Ryota Oshima,5,Kawasaki Frontale,1993-01-23
Japan,Hiroki Sakai,43,Marseille,1990-04-12
Japan,Tomoaki Makino,32,Urawa Red Diamonds,1987-05-11
Japan,Gōtoku Sakai,41,Hamburger SV,1991-03-14
Japan,Maya Yoshida,82,Southampton,1988-08-24
Japan,Kosuke Nakamura,4,Kashiwa Reysol,1995-02-27
Poland,Wojciech Szczęsny,35,Juventus,1990-04-18
Poland,Michał Pazdan,33,Legia Warsaw,1987-09-21
Poland,Artur Jędrzejczyk,36,Legia Warsaw,1987-11-04
Poland,Thiago Cionek,19,SPAL,1986-04-21
Poland,Jan Bednarek,3,Southampton,1996-04-12
Poland,Jacek Góralski,5,Ludogorets Razgrad,1992-09-21
Poland,Arkadiusz Milik,40,Napoli,1994-02-28
Poland,Karol Linetty,20,Sampdoria,1995-02-02
Poland,Robert Lewandowski,95,Bayern Munich,1988-08-21
Poland,Grzegorz Krychowiak,51,West Bromwich Albion,1990-01-29
Poland,Kamil Grosicki,57,Hull City,1988-06-08
Poland,Bartosz Białkowski,1,Ipswich Town,1987-07-06
Poland,Maciej Rybus,51,Lokomotiv Moscow,1989-08-19
Poland,Łukasz Teodorczyk,17,Anderlecht,1991-06-03
Poland,Kamil Glik,57,Monaco,1988-02-03
Poland,Jakub Błaszczykowski,99,VfL Wolfsburg,1985-12-14
Poland,Sławomir Peszko,43,Lechia Gdańsk,1985-02-19
Poland,Bartosz Bereszyński,8,Sampdoria,1992-07-12
Poland,Piotr Zieliński,33,Napoli,1994-05-20
Poland,Łukasz Piszczek,63,Borussia Dortmund,1985-06-03
Poland,Rafał Kurzawa,3,Górnik Zabrze,1993-01-29
Poland,Łukasz Fabiański,45,Swansea City,1985-04-18
Poland,Dawid Kownacki,2,Sampdoria,1997-03-14
Senegal,Abdoulaye Diallo,17,Rennes,1992-03-30
Senegal,Adama Mbengue,6,Caen,1993-12-01
Senegal,Kalidou Koulibaly,26,Napoli,1991-06-20
Senegal,Kara Mbodji,52,Anderlecht,1989-11-22
Senegal,Idrissa Gueye,61,Everton,1989-09-26
Senegal,Salif Sané,22,Hannover 96,1990-08-25
Senegal,Moussa Sow,51,Bursaspor,1986-01-19
Senegal,Cheikhou Kouyaté,48,West Ham United,1989-12-21
Senegal,Mame Biram Diouf,49,Stoke City,1987-12-16
Senegal,Sadio Mané,53,Liverpool,1992-04-10
Senegal,Cheikh N'Doye,26,Birmingham City,1986-03-29
Senegal,Youssouf Sabaly,5,Bordeaux,1993-03-05
Senegal,Alfred N'Diaye,21,Wolverhampton Wanderers,1990-03-06
Senegal,Moussa Konaté,28,Amiens,1993-04-03
Senegal,Diafra Sakho,12,Rennes,1989-12-24
Senegal,Khadim N'Diaye,26,Horoya,1985-04-05
Senegal,Badou Ndiaye,20,Stoke City,1990-10-27
Senegal,Ismaïla Sarr,16,Rennes,1998-02-25
Senegal,M'Baye Niang,7,Torino,1994-12-19
Senegal,Keita Baldé,19,Monaco,1995-03-08
Senegal,Lamine Gassama,36,Alanyaspor,1989-10-20
Senegal,Moussa Wagué,10,Eupen,1998-10-04
Senegal,Alfred Gomis,1,SPAL,1993-09-05
