team,player,caps,club
Uruguay,Rodrigo Bentancur,51,Tottenham Hotspur
Uruguay,Nicolás de la Cruz,17,River Plate
Uruguay,Facundo Pellistri,7,Manchester United
Uruguay,Luis Suárez,134,Nacional
Uruguay,Giorgian de Arrascaeta,40,Flamengo
Uruguay,Darwin Núñez,13,Liverpool
Uruguay,Sebastián Sosa,1,Independiente
Uruguay,Guillermo Varela,9,Flamengo
Uruguay,Lucas Torreira,40,Galatasaray
Uruguay,Federico Valverde,44,Real Madrid
Uruguay,Mathías Olivera,8,Napoli
Uruguay,Matías Viña,26,Roma
Uruguay,Maxi Gómez,27,Trabzonspor
Uruguay,Sebastián Coates,47,Sporting CP
Uruguay,Facundo Torres,10,Orlando City SC
Uruguay,Edinson Cavani,133,Valencia
Uruguay,Martín Cáceres,115,LA Galaxy
Uruguay,Sergio Rochet,8,Nacional
Uruguay,Agustín Canobbio,3,Athletico Paranaense
Uruguay,Manuel Ugarte,6,Sporting CP
Uruguay,José Luis Rodríguez,0,Nacional
