team,player,caps,club,birth
France,Hugo Lloris,75,Tottenham Hotspur,1986-12-26
France,Christophe Jallet,11,Lyon,1983-10-31
France,Patrice Evra,73,Juventus,1981-05-15
France,Adil Rami,28,Sevilla,1985-12-27
France,N'Golo Kanté,4,Leicester City,1991-03-29
France,Yohan Cabaye,46,Crystal Palace,1986-01-14
France,Antoine Griezmann,27,Atlético Madrid,1991-03-21
France,Dimitri Payet,19,West Ham United,1987-03-29
France,Olivier Giroud,49,Arsenal,1986-09-30
France,André-Pierre Gignac,27,UANL,1985-12-05
France,Anthony Martial,9,Manchester United,1995-12-05
France,Morgan Schneiderlin,15,Manchester United,1989-11-08
France,Eliaquim Mangala,7,Manchester City,1991-02-13
France,Blaise Matuidi,44,Paris Saint-Germain,1987-04-09
France,Paul Pogba,31,Juventus,1993-03-15
France,Steve Mandanda,22,Marseille,1985-03-28
France,Lucas Digne,13,Roma,1993-07-20
France,Moussa Sissoko,38,Newcastle United,1989-08-16
France,Bacary Sagna,57,Manchester City,1983-02-14
France,Kingsley Coman,5,Bayern Munich,1996-06-13
France,Laurent Koscielny,29,Arsenal,1985-09-10
France,Samuel Umtiti,0,Lyon,1993-11-14
France,Benoît Costil,0,Rennes,1987-07-03
Romania,Costel Pantilimon,22,Watford,1987-02-01
Romania,Alexandru Mățel,16,Dinamo Zagreb,1989-10-17
Romania,Răzvan Raț,111,Rayo Vallecano,1981-05-26
Romania,Cosmin Moți,8,Ludogorets Razgrad,1984-12-03
Romania,Ovidiu Hoban,20,Hapoel Be'er Sheva,1982-12-27
Romania,Vlad Chiricheș,40,Napoli,1989-11-14
Romania,Alexandru Chipciu,21,Steaua București,1989-05-18
Romania,Mihai Pintilii,31,Steaua București,1984-11-09
Romania,Denis Alibec,4,Astra Giurgiu,1991-01-05
Romania,Nicolae Stanciu,5,Steaua București,1993-05-07
Romania,Gabriel Torje,50,Osmanlıspor,1989-11-22
Romania,Ciprian Tătărușanu,36,Fiorentina,1986-02-09
Romania,Claudiu Keșerü,13,Ludogorets Razgrad,1986-12-02
Romania,Florin Andone,6,Córdoba,1993-04-11
Romania,Valerică Găman,13,Astra Giurgiu,1989-02-25
Romania,Steliano Filip,4,Dinamo București,1994-05-15
Romania,Lucian Sânmărtean,20,Al-Ittihad,1980-03-13
Romania,Andrei Prepeliță,10,Ludogorets Razgrad,1985-12-08
Romania,Bogdan Stancu,40,Gençlerbirliği,1987-06-28
Romania,Adrian Popa,14,Steaua București,1988-07-24
Romania,Dragoș Grigore,20,Al-Sailiya,1986-09-07
Romania,Cristian Săpunaru,13,Pandurii Târgu Jiu,1984-04-05
Romania,Silviu Lung Jr.,3,Astra Giurgiu,1989-06-04
Albania,Etrit Berisha,35,Lazio,1989-03-10
Albania,Andi Lila,58,PAS Giannina,1986-02-12
Albania,Ermir Lenjani,19,Nantes,1989-08-05
Albania,Elseid Hysaj,20,Napoli,1994-02-02
Albania,Lorik Cana,91,Nantes,1983-06-27
Albania,Frédéric Veseli,3,Lugano,1992-11-20
Albania,Ansi Agolli,61,Qarabağ,1982-11-11
Albania,Migjen Basha,19,Como,1987-01-05
Albania,Ledian Memushaj,14,Pescara,1986-12-07
Albania,Armando Sadiku,20,Vaduz,1991-05-27
Albania,Shkëlzen Gashi,14,Colorado Rapids,1988-07-15
Albania,Orges Shehi,7,Skënderbeu Korçë,1977-09-25
Albania,Burim Kukeli,15,Zürich,1984-01-16
Albania,Taulant Xhaka,12,Basel,1991-03-28
Albania,Mërgim Mavraj,26,1. FC Köln,1986-06-09
Albania,Sokol Cikalleshi,19,İstanbul Başakşehir,1990-07-27
Albania,Naser Aliji,5,Basel,1993-12-27
Albania,Arlind Ajeti,10,Frosinone,1993-09-25
Albania,Bekim Balaj,15,Rijeka,1991-01-11
Albania,Ergys Kaçe,16,PAOK,1993-07-08
Albania,Odise Roshi,32,Rijeka,1991-05-21
Albania,Amir Abrashi,18,SC Freiburg,1990-03-27
Albania,Alban Hoxha,1,Partizani,1987-11-23
Switzerland,Yann Sommer,18,Borussia Mönchengladbach,1988-12-07
Switzerland,Stephan Lichtsteiner,81,Juventus,1984-01-16
Switzerland,François Moubandje,11,Toulouse,1990-06-21
Switzerland,Nico Elvedi,1,Borussia Mönchengladbach,1996-09-30
Switzerland,Steve von Bergen,50,Young Boys,1983-06-10
Switzerland,Michael Lang,17,Basel,1991-02-08
Switzerland,Breel Embolo,10,Basel,1997-02-14
Switzerland,Fabian Frei,8,Mainz 05,1989-01-08
Switzerland,Haris Seferovic,30,Eintracht Frankfurt,1992-02-22
Switzerland,Granit Xhaka,43,Borussia Mönchengladbach,1992-09-27
Switzerland,Valon Behrami,66,Watford,1985-04-19
Switzerland,Marwin Hitz,2,FC Augsburg,1987-09-18
Switzerland,Ricardo Rodríguez,37,VfL Wolfsburg,1992-08-25
Switzerland,Denis Zakaria,2,Young Boys,1996-11-20
Switzerland,Blerim Džemaili,48,Genoa,1986-04-12
Switzerland,Gelson Fernandes,56,Rennes,1986-09-02
Switzerland,Shani Tarashaj,4,Grasshopper,1995-02-07
Switzerland,Admir Mehmedi,42,Bayer Leverkusen,1991-03-16
Switzerland,Eren Derdiyok,52,Kasımpaşa,1988-06-12
Switzerland,Johan Djourou,60,Hamburger SV,1987-01-18
Switzerland,Roman Bürki,5,Borussia Dortmund,1990-11-14
Switzerland,Fabian Schär,20,1899 Hoffenheim,1991-12-20
Switzerland,Xherdan Shaqiri,53,Stoke City,1991-10-10
England,Joe Hart,59,Manchester City,1987-04-19
England,Kyle Walker,16,Tottenham Hotspur,1990-05-28
England,Danny Rose,4,Tottenham Hotspur,1990-07-02
England,James Milner,60,Liverpool,1986-01-04
England,Gary Cahill,43,Chelsea,1985-12-19
England,Chris Smalling,25,Manchester United,1989-11-22
England,Raheem Sterling,23,Manchester City,1994-12-08
England,Adam Lallana,23,Liverpool,1988-05-10
England,Harry Kane,12,Tottenham Hotspur,1993-07-28
England,Wayne Rooney,111,Manchester United,1985-10-24
England,Jamie Vardy,8,Leicester City,1987-01-11
England,Nathaniel Clyne,12,Liverpool,1991-04-05
England,Fraser Forster,6,Southampton,1988-03-17
England,Jordan Henderson,26,Liverpool,1990-06-17
England,Daniel Sturridge,18,Liverpool,1989-09-01
England,John Stones,10,Everton,1994-05-28
England,Eric Dier,7,Tottenham Hotspur,1994-01-15
England,Jack Wilshere,31,Arsenal,1992-01-01
England,Ross Barkley,22,Everton,1993-12-05
England,Dele Alli,8,Tottenham Hotspur,1996-04-11
England,Ryan Bertrand,8,Southampton,1989-08-05
England,Marcus Rashford,1,Manchester United,1997-10-31
England,Tom Heaton,1,Burnley,1986-04-15
Russia,Igor Akinfeev,86,CSKA Moscow,1986-04-08
Russia,Roman Shishkin,10,Lokomotiv Moscow,1987-01-27
Russia,Igor Smolnikov,12,Zenit Saint Petersburg,1988-08-08
Russia,Sergei Ignashevich,115,CSKA Moscow,1979-07-14
Russia,Roman Neustädter,1,Schalke 04,1988-02-18
Russia,Aleksei Berezutski,57,CSKA Moscow,1982-06-20
Russia,Artur Yusupov,2,Zenit Saint Petersburg,1989-09-01
Russia,Denis Glushakov,42,Spartak Moscow,1987-01-27
Russia,Aleksandr Kokorin,37,Zenit Saint Petersburg,1991-03-19
Russia,Fyodor Smolov,12,Krasnodar,1990-02-05
Russia,Pavel Mamayev,10,Krasnodar,1988-09-17
Russia,Yuri Lodygin,10,Zenit Saint Petersburg,1990-05-26
Russia,Aleksandr Golovin,3,CSKA Moscow,1996-05-30
Russia,Vasili Berezutski,93,CSKA Moscow,1982-06-20
Russia,Roman Shirokov,53,CSKA Moscow,1981-07-06
Russia,Guilherme Marinato,1,Lokomotiv Moscow,1985-12-12
Russia,Oleg Shatov,21,Zenit Saint Petersburg,1990-06-29
Russia,Oleg Ivanov,3,Terek Grozny,1986-08-04
Russia,Aleksandr Samedov,28,Lokomotiv Moscow,1984-07-19
Russia,Dmitri Torbinski,28,Krasnodar,1984-04-28
Russia,Georgi Shchennikov,7,CSKA Moscow,1991-04-27
Russia,Artem Dzyuba,16,Zenit Saint Petersburg,1988-08-22
Russia,Dmitri Kombarov,38,Spartak Moscow,1987-01-22
Wales,Wayne Hennessey,57,Crystal Palace,1987-01-24
Wales,Chris Gunter,67,Reading,1989-07-21
Wales,Neil Taylor,28,Swansea City,1989-02-07
Wales,Ben Davies,20,Tottenham Hotspur,1993-04-24
Wales,James Chester,11,West Bromwich Albion,1989-01-23
Wales,Ashley Williams,59,Swansea City,1984-08-23
Wales,Joe Allen,25,Liverpool,1990-03-14
Wales,Andy King,33,Leicester City,1988-10-29
Wales,Hal Robson-Kanu,30,Reading,1989-05-21
Wales,Aaron Ramsey,39,Arsenal,1990-12-26
Wales,Gareth Bale,55,Real Madrid,1989-07-16
Wales,Owain Fôn Williams,1,Inverness Caledonian Thistle,1987-03-17
Wales,George Williams,7,Gillingham,1995-09-07
Wales,David Edwards,32,Wolverhampton Wanderers,1986-02-03
Wales,Jazz Richards,9,Fulham,1991-04-12
Wales,Joe Ledley,61,Crystal Palace,1987-01-23
Wales,David Cotterill,23,Birmingham City,1987-12-04
Wales,Sam Vokes,40,Burnley,1989-10-21
Wales,James Collins,47,West Ham United,1983-08-23
Wales,Jonny Williams,12,Milton Keynes Dons,1993-10-09
Wales,Danny Ward,2,Liverpool,1993-06-22
Wales,David Vaughan,42,Nottingham Forest,1983-02-18
Wales,Simon Church,36,Aberdeen,1988-12-10
Slovakia,Ján Mucha,46,Slovan Bratislava,1982-12-05
Slovakia,Peter Pekarík,67,Hertha BSC,1986-10-30
Slovakia,Martin Škrtel,81,Liverpool,1984-12-15
Slovakia,Ján Ďurica,79,Lokomotiv Moscow,1981-12-10
Slovakia,Norbert Gyömbér,13,Roma,1992-07-03
Slovakia,Ján Greguš,7,Baumit Jablonec,1991-01-29
Slovakia,Vladimír Weiss,52,Al-Gharafa,1989-11-30
Slovakia,Ondrej Duda,11,Legia Warsaw,1994-12-05
Slovakia,Stanislav Šesták,65,Ferencváros,1982-12-16
Slovakia,Miroslav Stoch,54,Bursaspor,1989-10-19
Slovakia,Adam Nemec,22,Willem II,1985-09-02
Slovakia,Ján Novota,3,Rapid Wien,1983-11-29
Slovakia,Patrik Hrošovský,12,Viktoria Plzeň,1992-04-22
Slovakia,Milan Škriniar,2,Sampdoria,1995-02-11
Slovakia,Tomáš Hubočan,44,Dynamo Moscow,1985-09-17
Slovakia,Kornel Saláta,37,Slovan Bratislava,1985-01-24
Slovakia,Marek Hamšík,87,Napoli,1987-07-27
Slovakia,Dušan Švento,39,1. FC Köln,1985-08-01
Slovakia,Juraj Kucka,47,Milan,1987-02-26
Slovakia,Róbert Mak,27,PAOK,1991-03-08
Slovakia,Michal Ďuriš,26,Viktoria Plzeň,1988-06-01
Slovakia,Viktor Pečovský,32,Žilina,1983-05-24
Slovakia,Matúš Kozáčik,17,Viktoria Plzeň,1983-12-27
Germany,Manuel Neuer,65,Bayern Munich,1986-03-27
Germany,Shkodran Mustafi,10,Valencia,1992-04-17
Germany,Jonas Hector,14,1. FC Köln,1990-05-27
Germany,Benedikt Höwedes,34,Schalke 04,1988-02-29
Germany,Mats Hummels,46,Borussia Dortmund,1988-12-16
Germany,Sami Khedira,60,Juventus,1987-04-04
Germany,Bastian Schweinsteiger,115,Manchester United,1984-08-01
Germany,Mesut Özil,73,Arsenal,1988-10-15
Germany,André Schürrle,52,VfL Wolfsburg,1990-11-06
Germany,Lukas Podolski,128,Galatasaray,1985-06-04
Germany,Julian Draxler,19,VfL Wolfsburg,1993-09-20
Germany,Bernd Leno,1,Bayer Leverkusen,1992-03-04
Germany,Thomas Müller,71,Bayern Munich,1989-09-13
Germany,Emre Can,6,Liverpool,1994-01-12
Germany,Julian Weigl,1,Borussia Dortmund,1995-09-08
Germany,Jonathan Tah,1,Bayer Leverkusen,1996-02-11
Germany,Jérôme Boateng,59,Bayern Munich,1988-09-03
Germany,Toni Kroos,65,Real Madrid,1990-01-04
Germany,Mario Götze,52,Bayern Munich,1992-06-03
Germany,Leroy Sané,3,Schalke 04,1996-01-11
Germany,Joshua Kimmich,1,Bayern Munich,1995-02-08
Germany,Marc-André ter Stegen,6,Barcelona,1992-04-30
Germany,Mario Gómez,64,Beşiktaş,1985-07-10
Ukraine,Denys Boyko,4,Beşiktaş,1988-01-29
Ukraine,Bohdan Butko,17,Amkar Perm,1991-01-13
Ukraine,Yevhen Khacheridi,42,Dynamo Kyiv,1987-07-28
Ukraine,Anatoliy Tymoshchuk,143,Kairat Almaty,1979-03-30
Ukraine,Oleksandr Kucher,50,Shakhtar Donetsk,1982-10-22
Ukraine,Taras Stepanenko,29,Shakhtar Donetsk,1989-08-08
Ukraine,Andriy Yarmolenko,59,Dynamo Kyiv,1989-10-23
Ukraine,Roman Zozulya,26,Dnipro Dnipropetrovsk,1989-11-17
Ukraine,Viktor Kovalenko,3,Shakhtar Donetsk,1996-02-14
Ukraine,Yevhen Konoplyanka,53,Sevilla,1989-09-29
Ukraine,Yevhen Seleznyov,50,Kuban Krasnodar,1985-07-20
Ukraine,Andriy Pyatov,64,Shakhtar Donetsk,1984-06-28
Ukraine,Vyacheslav Shevchuk,54,Shakhtar Donetsk,1979-05-13
Ukraine,Ruslan Rotan,88,Dnipro Dnipropetrovsk,1981-10-29
Ukraine,Pylyp Budkivskyi,6,Zorya Luhansk,1992-03-10
Ukraine,Serhiy Sydorchuk,12,Dynamo Kyiv,1991-05-02
Ukraine,Artem Fedetskyi,49,Dnipro Dnipropetrovsk,1985-04-26
Ukraine,Serhiy Rybalka,9,Dynamo Kyiv,1990-04-01
Ukraine,Denys Harmash,27,Dynamo Kyiv,1990-04-19
Ukraine,Yaroslav Rakitskiy,40,Shakhtar Donetsk,1989-08-03
Ukraine,Oleksandr Zinchenko,3,Ufa,1996-12-15
Ukraine,Oleksandr Karavayev,3,Zorya Luhansk,1992-06-02
Ukraine,Mykyta Shevchenko,0,Zorya Luhansk,1993-01-26
