team,player,caps,club,birth
Czech Republic,Matěj Kovář,20,PSV Eindhoven,2000-05-17
Czech Republic,David Zima,25,Slavia Prague,2000-11-08
Czech Republic,Tomáš Holeš,41,Slavia Prague,1993-03-31
Czech Republic,Robin Hranáč,14,TSG Hoffenheim,2000-01-29
Czech Republic,Vladimír Coufal,62,TSG Hoffenheim,1992-08-22
Czech Republic,Štěpán Chaloupek,5,Slavia Prague,2003-03-08
Czech Republic,Ladislav Krejčí,27,Wolverhampton Wanderers,1999-04-20
Czech Republic,Vladimír Darida,79,Hradec Králové,1990-08-08
Czech Republic,Adam Hložek,43,TSG Hoffenheim,2002-07-25
Czech Republic,Patrik Schick,53,Bayer Leverkusen,1996-01-24
Czech Republic,Jan Kuchta,31,Sparta Prague,1997-01-08
Czech Republic,Lukáš Červ,17,Viktoria Plzeň,2001-04-10
Czech Republic,Mojmír Chytil,22,Slavia Prague,1999-04-29
Czech Republic,David Jurásek,18,Slavia Prague,2000-08-07
Czech Republic,Pavel Šulc,21,Lyon,2000-12-29
Czech Republic,Jindřich Staněk,14,Slavia Prague,1996-04-27
Czech Republic,Lukáš Provod,38,Slavia Prague,1996-10-23
Czech Republic,Michal Sadílek,35,Slavia Prague,1999-05-31
Czech Republic,Tomáš Chorý,22,Slavia Prague,1995-01-26
Czech Republic,Jaroslav Zelený,23,Sparta Prague,1992-08-20
Czech Republic,David Douděra,17,Slavia Prague,1998-05-31
Czech Republic,Tomáš Souček,90,West Ham United,1995-02-27
Czech Republic,Lukáš Horníček,1,Braga,2002-07-13
Czech Republic,Alexandr Sojka,2,Viktoria Plzeň,2003-04-02
Czech Republic,Hugo Sochůrek,1,Sparta Prague,2008-06-07
Czech Republic,Denis Višinský,2,Viktoria Plzeň,2003-03-21
Mexico,Raúl Rangel,14,Guadalajara,2000-02-25
Mexico,Jorge Sánchez,59,PAOK,1997-12-10
Mexico,César Montes,67,Lokomotiv Moscow,1997-02-24
Mexico,Edson Álvarez,98,Fenerbahçe,1997-10-24
Mexico,Johan Vásquez,46,Genoa,1998-10-22
Mexico,Érik Lira,25,Cruz Azul,2000-05-08
Mexico,Luis Romo,63,Guadalajara,1995-06-05
Mexico,Álvaro Fidalgo,4,Real Betis,1997-04-09
Mexico,Raúl Jiménez,124,Fulham,1991-05-05
Mexico,Alexis Vega,52,Toluca,1997-11-25
Mexico,Santiago Giménez,47,Milan,2001-04-18
Mexico,Carlos Acevedo,7,Santos Laguna,1996-04-19
Mexico,Guillermo Ochoa,152,AEL Limassol,1985-07-13
Mexico,Armando González,7,Guadalajara,2003-04-20
Mexico,Israel Reyes,34,América,2000-05-23
Mexico,Julián Quiñones,22,Al-Qadsiah,1997-03-24
Mexico,Orbelín Pineda,92,AEK Athens,1996-03-24
Mexico,Obed Vargas,6,Atlético Madrid,2005-08-05
Mexico,Gilberto Mora,8,Tijuana,2008-10-14
Mexico,Mateo Chávez,10,AZ,2004-05-12
Mexico,César Huerta,26,Anderlecht,2000-12-03
Mexico,Guillermo Martínez,12,Pumas,1995-03-15
Mexico,Jesús Gallardo,121,Toluca,1994-08-15
Mexico,Luis Chávez,45,Dynamo Moscow,1996-01-15
Mexico,Roberto Alvarado,67,Guadalajara,1998-09-07
Mexico,Brian Gutiérrez,7,Guadalajara,2003-06-17
South Africa,Ronwen Williams,62,Mamelodi Sundowns,1992-01-21
South Africa,Thabang Matuludi,3,Polokwane City,1999-01-14
South Africa,Khulumani Ndamane,5,Mamelodi Sundowns,2004-02-05
South Africa,Teboho Mokoena,51,Mamelodi Sundowns,1997-01-24
South Africa,Thalente Mbatha,15,Orlando Pirates,2000-03-06
