player,nation,minutes,goals,npg,npxg,age
Aaron Cresswell,ENG,3069,1,1,,27
Aaron Hunt,GER,2081,3,2,,30
Aaron Lennon,ENG,1911,0,0,,30
Aaron Mooy,AUS,3067,4,3,,26
Aaron Ramsey,WAL,1846,7,7,,26
Aaron Wan-Bissaka,COD,627,0,0,,19
Aarón Martín,ESP,2815,0,0,,20
Abdallah N'dour,SEN,253,0,0,,23
Abdelhamid Sabiri,MAR,220,0,0,,20
Abdou Diallo,SEN,2415,2,2,,21
Abdoul Camara,GUI,888,2,2,,27
Abdoulaye Bamba,CIV,1533,0,0,,27
Abdoulaye Diallo,SEN,270,0,0,,25
Abdoulaye Doucouré,MLI,3324,7,7,,24
Abdoulaye Touré,GUI,2810,1,1,,23
Ablie Jallow,GAM,129,0,0,,18
Achraf Hakimi,MAR,757,2,2,,18
Achraf Lazaar,MAR,478,1,1,,25
Adalberto Peñaranda,VEN,802,0,0,,20
Adam Lallana,ENG,244,0,0,,29
Adam Marušić,MNE,2523,3,3,,24
Adam Masina,MAR,2830,0,0,,23
Adam Ounas,ALG,96,0,0,,20
Adam Smith,ENG,2071,1,1,,26
Adama Diakhaby,FRA,850,2,2,,21
Adama Mbengue,SEN,1595,0,0,,23
Adama Niane,MLI,2164,8,6,,24
Adama Soumaoro,FRA,1192,0,0,,25
Adama Traoré,MLI,189,3,3,,22
Aday,ESP,1835,2,1,,29
Adel Taarabt,MAR,1615,2,2,,28
Adem Ljajić,SRB,2166,6,6,,25
Ademola Lookman,NGA,733,5,5,,19
Adil Rami,FRA,2955,1,1,,31
Admir Mehmedi,SUI,990,3,3,,26
Adnan Januzaj,BEL,1573,3,3,,22
Adrian Mariappa,JAM,2210,0,0,,30
Adrian Stoian,ROU,2133,2,2,,26
Adrien Hunou,FRA,1458,5,5,,23
Adrien Rabiot,FRA,2362,1,1,,22
Adrien Silva,POR,761,0,0,,28
Adrien Tameze,CMR,1681,0,0,,23
Adrien Thomasson,FRA,2578,5,5,,23
Adrián,ESP,1710,0,0,,30
Adrián Diéguez,ESP,435,0,0,,21
Adrián González,ESP,2340,3,2,,29
Adrián López,ESP,2345,9,9,,29
Adrián Marín,ESP,233,0,0,,20
Adrián Sahibeddine,FRA,32,0,0,,22
Afonso Figueiredo,POR,223,0,0,,24
Afriyie Acquah,GHA,951,1,1,,25
Ager Aketxe,ESP,37,0,0,,23
Ahmad Benali,LBY,811,1,1,,25
Ahmed Hegazi,EGY,3386,2,2,,26
Aiden O'Neill,AUS,1,0,0,,19
Ailton,BRA,108,0,0,,22
Ainsley Maitland-Niles,ENG,914,0,0,,19
Aitor Ruibal,ESP,9,0,0,,21
Alassane Pléa,FRA,3041,16,15,,24
Alban Lafont,CIV,3420,0,0,,18
Albano Bizzarri,ARG,2880,0,0,,39
Alberto Aquilani,ITA,1297,0,0,,33
Alberto Brignoli,ITA,1126,1,1,,25
Alberto Bueno,ESP,226,0,0,,29
Alberto Grassi,ITA,2253,3,3,,22
Alberto López,ESP,45,0,0,,22
Alberto Moreno,ESP,1266,0,0,,25
Alberto Paloschi,ITA,2184,7,7,,27
Alberto Redondo,ESP,90,0,0,,20
Alberto de la Bella,ESP,1528,0,0,,31
Albin Ekdal,SWE,1108,0,0,,28
Aleandro Rosi,ITA,1700,0,0,,30
Aleix García,ESP,852,1,1,,20
Aleix Vidal,ESP,460,1,1,,27
Alejandro Arribas,ESP,270,0,0,,28
Alejandro Gutiérrez Mozo,ESP,45,0,0,,22
Aleksandar Dragović,AUT,814,0,0,,26
Aleksandar Katai,SRB,55,0,0,,26
Aleksandar Kolarov,SRB,3060,2,2,,31
Aleksandar Mitrović,SRB,95,1,1,,22
Aleksandar Tonev,BUL,401,0,0,,27
Alen Halilović,CRO,1304,2,2,,21
Alessandro Bastoni,ITA,91,0,0,,18
Alessandro Buongiorno,ITA,9,0,0,,18
Alessandro Deiola,ITA,449,0,0,,21
Alessandro Florenzi,ITA,2387,1,1,,26
Alessandro Gamberini,ITA,1815,0,0,,35
Alessandro Matri,ITA,914,3,2,,32
Alessandro Murgia,ITA,777,0,0,,20
Alessandro Schöpf,AUT,808,0,0,,23
Alessio Cerci,ITA,1635,3,2,,30
Alessio Cragno,ITA,2536,0,0,,23
Alessio Romagnoli,ITA,2353,2,2,,22
Alex Cordaz,ITA,3420,0,0,,34
Alex Ferrari,ITA,2136,1,1,,23
Alex Iwobi,NGA,1830,3,3,,21
Alex McCarthy,ENG,1620,0,0,,27
Alex Meret,ITA,1158,0,0,,20
Alex Oxlade-Chamberlain,ENG,1734,3,3,,23
Alex Pritchard,ENG,998,1,1,,24
Alex Sandro,BRA,2117,4,4,,26
Alexander,ARG,1060,2,1,,28
Alexander Djiku,GHA,2520,0,0,,22
Alexander Esswein,GER,617,2,2,,27
Alexander Hack,GER,1287,1,1,,23
Alexander Isak,SWE,119,0,0,,17
Alexander Kačaniklić,SWE,316,0,0,,25
Alexander Meier,GER,4,1,1,,34
Alexander Nübel,GER,45,0,0,,20
Alexander Schwolow,GER,2906,0,0,,25
Alexander Søderlund,NOR,363,0,0,,29
Alexander Sørloth,NOR,360,0,0,,21
Alexandre Lacazette,FRA,2202,14,12,,26
Alexandre Letellier,FRA,1170,0,0,,26
Alexandre Mendy,GNB,795,4,4,,23
Alexandre Oukidja,ALG,1457,0,0,,29
Alexandru Maxim,ROU,957,2,2,,27
Alexis,ESP,2184,1,1,,31
Alexis Blin,FRA,1886,1,1,,20
Alexis Sánchez,CHI,2546,9,8,,28
Alfie Mawson,ENG,3420,2,2,,23
Alfonso Pedraza,ESP,2440,3,3,,21
Alfred Duncan,GHA,1947,0,0,,24
Alfred Gomis,SEN,2261,0,0,,23
Alfred N'Diaye,SEN,101,0,0,,27
Alfreð Finnbogason,ISL,1814,12,9,,28
Ali Adnan Kadhim,IRQ,1674,0,0,,23
Alin Toșca,ROU,1593,0,0,,25
Alisson,BRA,3330,0,0,,24
Allan,BRA,2850,4,4,,26
Allan Nyom,CMR,2310,0,0,,29
Allan Saint-Maximin,FRA,2262,3,3,,20
Almamy Touré,MLI,1248,1,1,,21
Alois Confais,FRA,611,0,0,,20
Alphonse Areola,FRA,3060,0,0,,24
Aly Abeid,MTN,77,0,0,,19
