player,nation,minutes,goals,npg,npxg,age
Aaron Cresswell,ENG,436,0,0,,33
Aaron Hickey,SCO,713,0,0,,21
Aaron Malouda,FRA,1,0,0,,17
Aaron Ramsdale,ENG,540,0,0,,25
Aaron Ramsey,ENG,527,0,0,,20
Aaron Seydel,GER,619,1,1,,27
Aaron Wan-Bissaka,COD,1780,0,0,,25
Aarón Escandell,ESP,153,0,0,,27
Aarón Martín,ESP,1376,0,0,,26
Abakar Sylla,CIV,1792,2,2,,20
Abde Ezzalzouli,MAR,933,1,1,,21
Abde Rebbach,ALG,722,1,1,,24
Abdel Abqar,MAR,2312,0,0,,24
Abdellah Baallal,MAR,4,0,0,,18
Abdellah Raihani,MAR,10,0,0,,19
Abdou Harroui,NED,1019,3,2,,25
Abdoul Kader Bamba,FRA,611,2,2,,29
Abdoul Koné,FRA,193,0,0,,18
Abdoulaye Doucouré,MLI,2629,7,7,,30
Abdoulaye Touré,GUI,2284,2,0,,29
Abdukodir Khusanov,UZB,809,0,0,,19
Abdul Mumin,GHA,1694,1,1,,25
Abdón Prats,ESP,1270,6,6,,30
Ablie Jallow,GAM,918,3,2,,24
Abner,BRA,1400,0,0,,23
Abou Lô,SEN,197,0,0,,23
Aboubacar Ali,COM,130,0,0,,17
Achraf Dari,MAR,121,0,0,,24
Achraf Hakimi,MAR,1932,4,4,,24
Adam Hložek,CZE,459,2,2,,21
Adam Lallana,ENG,850,0,0,,35
Adam Marušić,MNE,3100,1,1,,30
Adam Masina,MAR,1088,0,0,,29
Adam Obert,SVK,941,0,0,,20
Adam Ounas,ALG,418,1,1,,26
Adam Smith,ENG,2150,0,0,,32
Adam Webster,ENG,1144,0,0,,28
Adam Wharton,ENG,1297,0,0,,19
Adama Bojang,GAM,83,0,0,,19
Adama Traoré,ESP,377,2,2,,27
Adel Mahamoud,COM,10,0,0,,20
Ademola Lookman,NGA,1894,11,11,,25
Adnan Januzaj,BEL,193,0,0,,28
Adri Bosch,ESP,26,0,0,,22
Adri Embarba,ESP,2476,3,2,,31
Adrian Beck,GER,974,1,1,,26
Adrian Grbić,AUT,31,0,0,,26
Adrien Lebeau,FRA,54,0,0,,24
Adrien Rabiot,FRA,2651,5,5,,28
Adrien Tameze,CMR,2146,0,0,,29
Adrien Thomasson,FRA,1193,1,1,,29
Adrien Truffert,FRA,2145,1,1,,21
Adrià Altimira,ESP,775,0,0,,22
Adrià Pedrosa,ESP,1753,1,1,,25
Adryelson,BRA,6,0,0,,25
Adson,BRA,238,0,0,,22
Adu Ares,ESP,265,0,0,,21
Agustín Martegani,ARG,731,1,1,,23
Ahmed Touba,ALG,277,0,0,,25
Aiham Ousou,SYR,430,0,0,,23
Aihen Muñoz,ESP,1127,0,0,,25
Aimar Oroz,ESP,2339,2,1,,21
Aingeru Olabarrieta,ESP,9,0,0,,17
Ainsley Maitland-Niles,ENG,1432,1,0,,25
Aitor Fernández,ESP,551,0,0,,32
Aitor Paredes,ESP,2704,1,1,,23
Aitor Ruibal,ESP,1017,2,2,,27
Akor Adams,NGA,2252,8,8,,23
Alaa Bellaarouch,MAR,1350,0,0,,21
Alan Matturro,URU,106,0,0,,18
Alan Virginius,FRA,1005,0,0,,20
Alassane Pléa,FRA,1913,7,6,,30
Alban Lafont,CIV,2496,0,0,,24
Albert Guðmundsson,ISL,3016,14,10,,26
Albert Sambi Lokonga,BEL,1303,1,1,,23
Alberto Cerri,ITA,545,1,1,,27
Alberto Dadie,ESP,28,0,0,,21
Alberto Dossena,ITA,2977,2,2,,24
Alberto Grassi,ITA,1807,0,0,,28
Alberto Marí,ESP,276,1,0,,22
Alberto Moleiro,ESP,1803,3,3,,19
Alberto Moreno,ESP,1484,2,2,,31
Alberto Perea,ESP,2,0,0,,32
Alberto Risco,ESP,137,0,0,,17
Alberto Soro,ESP,8,0,0,,24
Aleix García,ESP,3199,3,3,,26
Alejandro Balde,ESP,1378,0,0,,19
Alejandro Garnacho,ARG,2565,7,7,,19
Alejandro Pozo Pozo,ESP,976,0,0,,24
Alejo Véliz,ARG,85,1,1,,19
Aleksandar Mitrović,SRB,33,0,0,,28
Aleksandar Pavlovic,GER,1227,2,2,,19
Aleksandar Radovanović,SRB,569,0,0,,29
Aleksandar Sedlar,SRB,946,1,1,,31
Aleksandr Golovin,RUS,2147,6,6,,27
Aleksei Miranchuk,RUS,1176,3,3,,27
Alessandro Bastoni,ITA,2268,1,1,,24
Alessandro Buongiorno,ITA,2527,3,3,,24
Alessandro Deiola,ITA,1608,1,1,,27
Alessandro Dellavalle,ITA,15,0,0,,19
Alessandro Di Pardo,ITA,359,0,0,,24
Alessandro Florenzi,ITA,1732,1,1,,32
Alessandro Sorrentino,ITA,548,0,0,,21
Alessandro Vogliacco,ITA,1169,0,0,,24
Alessandro Zanoli,ITA,973,0,0,,22
Alessio Cragno,ITA,270,0,0,,29
Alessio Romagnoli,ITA,2411,0,0,,28
Alessio Zerbin,ITA,834,0,0,,24
Alex Baena,ESP,2579,2,2,,22
Alex Iwobi,NGA,2332,5,5,,27
Alex Král,CZE,1370,0,0,,25
Alex Matos,ENG,1,0,0,,18
Alex Meret,ITA,2773,0,0,,26
Alex Murphy,IRL,13,0,0,,19
Alex Sandro,BRA,721,1,1,,32
Alex Scott,ENG,1014,1,1,,19
Alex Sola,ESP,1292,0,0,,24
Alexander Brunst,GER,270,0,0,,28
Alexander Isak,SWE,2255,21,16,,23
Alexander Meyer,GER,695,0,0,,32
Alexander Nübel,GER,2700,0,0,,26
Alexander Schwolow,GER,90,0,0,,31
Alexander Sørloth,NOR,2489,23,23,,27
Alexandre Lacazette,FRA,2293,19,17,,32
Alexandre Oukidja,ALG,2987,0,0,,35
Alexis Blin,FRA,1642,0,0,,26
Alexis Claude-Maurice,FRA,504,0,0,,25
Alexis Mac Allister,ARG,2599,5,4,,24
Alexis Saelemaekers,BEL,1887,4,4,,24
Alexis Sánchez,CHI,763,2,1,,34
Alexsandro Ribeiro,BRA,2220,0,0,,23
Alfie Doughty,ENG,2925,2,2,,23
Alfie Gilchrist,ENG,207,1,1,,19
Alfonso Espino,URU,2507,0,0,,31
Alfonso Pedraza,ESP,1116,1,1,,27
Alfred Duncan,GHA,1888,2,2,,30
Alidu Seidu,GHA,1724,0,0,,23
Aliou Badara Baldé,GUI,69,0,0,,20
Alisson,BRA,2520,0,0,,30
Aljoscha Kemlein,GER,29,0,0,,18
Alois Confais,FRA,7,0,0,,26
Alphadjo Cissè,ITA,8,0,0,,16
Alphonse Areola,FRA,2699,0,0,,30
Alphonso Davies,CAN,2065,2,2,,22
Amad Diallo,CIV,390,1,1,,21
Amadou Diallo,ENG,1,0,0,,20
Amadou Haidara,MLI,1526,2,2,,25
Amadou Koné,MLI,475,0,0,,18
Amadou Onana,BEL,2091,2,2,,21
Amari'i Bell,JAM,1720,0,0,,29
Amath,SEN,394,0,0,,27
Ameen Al-Dakhil,BEL,1056,1,1,,21
Amin Sarr,SWE,484,0,0,,22
Amine Adli,MAR,898,4,4,,23
Amine Gouiri,ALG,2067,7,7,,23
Amine Harit,MAR,1821,1,1,,26
Amine Salama,FRA,313,0,0,,23
Amir Richardson,MAR,1352,3,3,,21
Amir Rrahmani,KVX,2600,3,3,,29
Amos Pieper,GER,590,0,0,,25
Anass Zaroury,MAR,152,0,0,,22
Anastasios Douvikas,GRE,905,7,7,,23
Ander Barrenetxea,ESP,1427,4,4,,21
Ander Guevara,ESP,2932,1,1,,26
Ander Herrera,ESP,1030,0,0,,33
Andoni Gorosabel,ESP,2854,1,1,,26
Andre Brooks,ENG,938,0,0,,19
Andre-Frank Zambo Anguissa,CMR,2786,0,0,,27
Andrea Belotti,ITA,1628,6,6,,29
Andrea Cambiaso,ITA,2372,2,2,,23
Andrea Carboni,ITA,1487,1,1,,22
Andrea Colpani,ITA,2657,8,8,,24
Andrea Consigli,ITA,3150,0,0,,36
Andrea Ferraris,ITA,10,0,0,,20
Andrea Petagna,ITA,995,1,1,,28
Andrea Pinamonti,ITA,3076,11,9,,24
Andrea Sodero,ITA,5,0,0,,18
Andreas Christensen,DEN,1979,2,2,,27
Andreas Hanche-Olsen,NOR,992,1,1,,26
Andreas Luthe,GER,90,0,0,,36
Andreas Müller,GER,349,0,0,,23
Andreas Pereira,BRA,2613,3,3,,27
Andrei Ratiu,ROU,630,0,0,,25
Andrej Ilic,SRB,9,0,0,,23
Andrej Kramarić,CRO,2199,15,10,,32
Andres Sfait,ROU,23,0,0,,18
Andrew Omobamidele,IRL,783,0,0,,21
Andrew Robertson,SCO,1693,3,3,,29
Andrey Santos,BRA,839,1,1,,19
Andriy Lunin,UKR,1890,0,0,,24
Andros Townsend,ENG,1210,1,1,,32
András Schäfer,HUN,1214,1,1,,24
André Ayew,GHA,1104,5,5,,33
André Ferreira,POR,1340,0,0,,27
André Gomes,POR,508,1,1,,30
André Onana,CMR,3420,0,0,,27
André Silva,POR,729,3,2,,27
Andrés Guardado,MEX,447,0,0,,36
Andy Diouf,FRA,1314,1,1,,20
Andy Pelmard,MAD,2989,0,0,,23
Anel Ahmedhodžić,BIH,2649,2,2,,24
Angel Gomes,ENG,2571,0,0,,22
Angeliño,ESP,1141,0,0,,26
Angelo Fulgini,FRA,1376,1,1,,26
Angelo Ogbonna,ITA,635,0,0,,35
Angelo Stiller,GER,2778,1,1,,22
Anis Ben Slimane,TUN,419,0,0,,22
Ansgar Knauff,GER,2109,7,7,,21
Ansu Fati,ESP,571,2,2,,20
Antal Yaakobishvili,HUN,61,0,0,,19
Ante Budimir,CRO,2435,17,14,,32
Anthony Caci,FRA,2486,2,2,,26
Anthony Elanga,SWE,2433,5,5,,21
Anthony Gordon,ENG,2890,11,10,,22
Anthony Jung,GER,2579,1,1,,31
Anthony Lopes,POR,2790,0,0,,32
Anthony Losilla,FRA,2576,1,1,,37
Anthony Lozano,HON,864,3,3,,30
Anthony Martial,FRA,448,1,1,,27
Anthony Oyono,GAB,1198,0,0,,22
Anthony Rouault,FRA,1010,0,0,,22
Antoine Griezmann,FRA,2644,16,12,,32
Antoine Joujou,FRA,779,0,0,,20
Antoine Makoumbou,CGO,2702,1,1,,25
Antoine Mendy,SEN,418,0,0,,19
Antoine Semenyo,GHA,2105,8,8,,23
Anton Stach,GER,2491,2,2,,24
Antonee Robinson,USA,3265,0,0,,25
Antonin Cartillier,FRA,8,0,0,,19
Antonino Gallo,ITA,2490,0,0,,23
Antonio Blanco,ESP,2426,0,0,,23
Antonio Candreva,ITA,2750,6,5,,36
Antonio Mirante,ITA,177,0,0,,40
Antonio Puertas,ESP,730,0,0,,31
Antonio Raillo,ESP,2195,3,3,,31
Antonio Rüdiger,GER,2709,1,1,,30
Antonio Sanabria,PAR,2133,5,3,,27
Antonio Sivera,ESP,3060,0,0,,26
Antonio Sánchez,ESP,1452,3,3,,26
Antonio Tikvić,CRO,1,0,0,,19
Antonios Papadopoulos,GER,117,0,0,,23
Antony,BRA,1324,1,1,,23
Antonín Barák,CZE,808,2,2,,28
Antwoine Hackford,ENG,13,0,0,,19
Anwar El Ghazi,NED,54,0,0,,28
Arda Güler,TUR,377,6,6,,18
Ardian Ismajli,ALB,2045,0,0,,26
Aridane Hernández,ESP,1690,0,0,,34
Arijanet Muric,KVX,900,0,0,,24
Arijon Ibrahimović,GER,474,1,1,,17
Aritz Elustondo,ESP,812,0,0,,29
Arkadiusz Milik,POL,919,4,4,,29
Armand Lauriente,FRA,2908,5,5,,24
Armando Broja,ALB,542,1,1,,21
Armando Izzo,ITA,1650,0,0,,31
Arnau Martinez,ESP,1241,0,0,,20
Arnau Puigmal,ESP,255,0,0,,22
Arnau Tenas,ESP,529,0,0,,22
Arnaud Kalimuendo,FRA,2139,10,8,,21
Arnaud Nordin,FRA,1246,5,5,,25
Arnaut Danjuma,NED,595,1,1,,26
Arne Engels,BEL,1405,3,3,,19
Arne Maier,GER,1003,2,2,,24
Aron Dønnum,NOR,1595,0,0,,25
Arouna Sangante,SEN,2687,0,0,,21
Arsen Zakharyan,RUS,1228,1,1,,20
Artem Dovbyk,UKR,2587,24,17,,26
Arthur,BRA,184,0,0,,20
Arthur Atta,FRA,924,1,1,,20
Arthur Desmas,FRA,2970,0,0,,29
Arthur Melo,BRA,1986,2,1,,26
Arthur Theate,BEL,2296,2,2,,23
Arthur Vermeeren,BEL,162,0,0,,18
Asaf Arania,ISR,6,0,0,,17
Ashley Young,ENG,2280,0,0,,38
Asier Osambela,ESP,9,0,0,,19
Asier Villalibre,ESP,513,2,2,,25
Assane Diao,SEN,1048,2,2,,17
Aster Vranckx,BEL,1153,0,0,,20
Atakan Karazor,TUR,2623,0,0,,26
Attila Szalai,HUN,391,0,0,,25
Augusto Batalla,ARG,1530,0,0,,27
Aurélien Pelon,FRA,90,0,0,,19
Aurélien Tchouaméni,FRA,1987,3,3,,23
Aurélio Buta,POR,1744,1,1,,26
Auston Trusty,USA,2572,0,0,,24
Axel Camblan,FRA,90,0,0,,19
Axel Disasi,FRA,2579,2,2,,25
Axel Gueguin,FRA,132,0,0,,18
Axel Guessand,FRA,45,0,0,,18
Axel Witsel,BEL,2783,2,2,,34
Ayanda Sishuba,BEL,62,0,0,,18
Ayman Kari,FRA,893,1,1,,18
Aymen Barkok,MAR,321,1,1,,25
Aymeric Laporte,ESP,12,0,0,,29
Ayoze Pérez,ESP,2294,9,9,,30
Ayyoub Bouaddi,FRA,131,0,0,,15
Azor Matusiwa,NED,2179,1,1,,25
Azzedine Ounahi,MAR,1209,2,2,,23
Aïman Maurer,MAR,56,0,0,,18
Aïssa Laïdouni,TUN,1071,0,0,,26
Aïssa Mandi,ALG,1113,1,1,,31
Babis Lykogiannis,GRE,904,2,2,,29
Badredine Bouanani,ALG,604,1,1,,18
Bafodé Diakité,FRA,1696,5,5,,22
Bamba Dieng,SEN,549,4,4,,23
Bambasé Conté,GER,48,0,0,,20
Bamo Meïté,CIV,784,0,0,,21
Baptiste Santamaria,FRA,1926,0,0,,28
Bart Verbruggen,NED,1890,0,0,,20
Bartol Franjić,CRO,1229,0,0,,23
Bartosz Bereszyński,POL,1762,0,0,,31
Bassirou Ndiaye,SEN,152,0,0,,21
Bastien Meupiyou,FRA,8,0,0,,17
Bebé,CPV,212,2,1,,33
Becir Omeragic,SUI,2312,0,0,,21
Ben Brereton,CHI,1375,6,5,,24
Ben Chilwell,ENG,756,0,0,,26
Ben Davies,WAL,1090,1,1,,30
Ben Gannon-Doak,SCO,14,0,0,,17
Ben Godfrey,ENG,1120,0,0,,25
Ben Johnson,ENG,544,0,0,,23
Ben Mee,ENG,1272,2,2,,33
Ben Osborn,ENG,1367,0,0,,28
Ben Parkinson,ENG,25,0,0,,18
Ben White,ENG,2988,4,4,,25
Benedict Hollerbach,GER,1282,5,5,,22
Benedikt Gimber,GER,2021,1,1,,26
Benicio Boaitey,ENG,40,0,0,,19
Benito Ramírez,ESP,384,1,1,,28
Benjamin André,FRA,2570,4,4,,32
Benjamin Bourigeaud,FRA,2425,9,2,,29
Benjamin Henrichs,GER,2526,1,1,,26
Benjamin Lecomte,FRA,2700,0,0,,32
Benjamin Mendy,FRA,711,2,2,,29
Benjamin Pavard,FRA,1672,0,0,,27
Benjamin Stambouli,FRA,286,0,0,,32
Benjamin Tetteh,GHA,278,0,0,,26
Benjamin Šeško,SVN,1526,14,14,,20
Bennit Bröger,GER,11,0,0,,17
Benno Schmitz,GER,1155,0,0,,28
Benoît Badiashile,FRA,1338,0,0,,22
Benoît Costil,FRA,1170,0,0,,36
Benson Manuel,ANG,116,0,0,,26
Berat Djimsiti,ALB,2832,0,0,,30
Berkan Kutlu,TUR,199,0,0,,25
Bernardo,BRA,2924,1,1,,28
Bernardo Espinosa,COL,2,0,0,,34
Bernardo Silva,POR,2578,6,6,,28
Bernd Leno,GER,3420,0,0,,31
Bertrand Traoré,BFA,579,1,1,,27
Bertuğ Yıldırım,TUR,469,0,0,,21
Beto,GNB,1025,3,3,,25
Beñat Prados,ESP,1449,0,0,,22
Beñat Turrientes,ESP,1687,0,0,,21
Bilal Boutobba,FRA,926,1,1,,24
Bilal Brahimi,ALG,232,0,0,,23
Bilal Nadir,MAR,113,0,0,,19
Billy Gilmour,SCO,2120,0,0,,22
Birger Meling,NOR,16,0,0,,28
Bobby Clark,ENG,89,0,0,,18
Bobby De Cordova-Reid,JAM,1423,6,6,,30
Bonke Innocent,NGA,210,0,0,,27
Boris Radunović,SRB,630,0,0,,27
Borja Iglesias,ESP,664,0,0,,30
Borja Mayoral,ESP,2153,15,11,,26
Borja Vázquez,ESP,4,0,0,,18
Borna Sosa,CRO,46,0,0,,25
Boubacar Kamara,FRA,1652,0,0,,23
Boubacar Traoré,MLI,819,0,0,,21
Boubakar Kouyaté,MLI,1928,0,0,,26
Boubakary Soumaré,FRA,2286,0,0,,24
Boulaye Dia,SEN,1143,4,3,,26
Bouna Sarr,SEN,106,0,0,,31
Bradley Barcola,FRA,1640,4,4,,20
Bradley Locko,FRA,2959,0,0,,21
Brahim Díaz,MAR,1545,8,8,,23
Brais Méndez,ESP,2413,5,5,,26
Brajan Gruda,GER,1641,4,4,,19
Brandon Aguilera,CRC,5,0,0,,20
Brandon Soppy,FRA,178,0,0,,21
Brau,ESP,31,0,0,,21
Braydon Manu,GHA,171,0,0,,26
Breel Embolo,SUI,182,1,1,,26
Brendan Chardonnet,FRA,2970,1,1,,28
Brenden Aaronson,USA,1267,2,2,,22
Brennan Johnson,WAL,2322,5,5,,22
Brenner,BRA,189,0,0,,23
Brian Ocampo,URU,248,1,1,,24
Brice Samba,FRA,2970,0,0,,29
Bruno Amione,ARG,579,0,0,,21
Bruno Fernandes,POR,3118,10,6,,28
Bruno Guimarães,BRA,3263,7,7,,25
Bruno Langa,MOZ,820,1,1,,25
Bruno Méndez,URU,1333,2,2,,23
Bryan Cristante,ITA,3289,3,3,,28
Bryan Gil,ESP,209,0,0,,22
Bryan Mbeumo,CMR,1960,9,6,,23
Bryan Zaragoza,ESP,1821,6,5,,21
Bukayo Saka,ENG,2919,16,10,,21
Bénie Traoré,CIV,891,0,0,,20
Caio Henrique Oliveira Silva,BRA,623,0,0,,26
Caleb Ekuban,GHA,1131,4,4,,29
